name,avg_displacement_error
AKAZE_BF_lowe,1.662239618080105
AKAZE_BF,54.94531268081237
AKAZE_BF_sort,37.01073804288192
AKAZE_BF_sort_lowe,1.0021641529112244
AKAZE_FLANN,58.030927482830506
AKAZE_FLANN_lowe,2.4330313192335367
AKAZE_FLANN_sort,38.90788274269946
AKAZE_FLANN_sort_lowe,1.1808259935523706
BRISK_BF,82.40891362638558
BRISK_BF_lowe,1.7253455045351946
BRISK_BF_sort,64.4942151954083
BRISK_BF_sort_lowe,1.1454228561078748
BRISK_FLANN,88.09320730710907
BRISK_FLANN_lowe,2.4566748306459845
BRISK_FLANN_sort,69.26146529533985
BRISK_FLANN_sort_lowe,1.3225068291255826
KAZE_BF,42.51687815732579
KAZE_BF_lowe,1.856195352339659
KAZE_BF_sort,25.640923417346528
KAZE_BF_sort_lowe,1.188368379627049
KAZE_FLANN,45.650372451424104
KAZE_FLANN_lowe,2.0526056110329844
KAZE_FLANN_sort,27.47730383771956
KAZE_FLANN_sort_lowe,1.2234106405087735
KLT,4.450194338371239
ORB_BF,62.762284025361396
ORB_BF_lowe,2.6871893864476415
ORB_BF_sort_lowe,1.8877598434138925
ORB_FLANN,66.80443691208646
ORB_BF_sort,49.78361461316689
ORB_FLANN_lowe,4.2571606458987725
ORB_FLANN_sort,52.43326474698854
SIFT_BF,94.60650332430635
ORB_FLANN_sort_lowe,2.3803938733793912
SIFT_BF_lowe,2.5065285697222857
SIFT_BF_sort,72.56509178547113
SIFT_BF_sort_lowe,1.1252637862657908
SIFT_FLANN,96.98827785689892
SIFT_FLANN_lowe,2.9604155836864283
SIFT_FLANN_sort,74.549859021193
SIFT_FLANN_sort_lowe,1.1591471660938089
