type,detector,avg_duration
matching,AKAZE,0.10214133070068072
matching,BRISK,0.09482693251934331
matching,KAZE,0.46167176152702194
optical_flow,KLT,0.011937947094851457
matching,ORB,0.01632364142572235
matching,SIFT,0.21341865082926167
